12;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B,P(2263);ZTM;Migowo;0
2;P(2265);ZTM;Budapesztańska;1
3;P(2270);ZTM;Warneńska;2
4;P(2272);ZTM;Belgradzka;2
5;P(2274);ZTM;Piekarnicza;1
6;P(2150);ZTM;Siedlce;4
7;P(2148);ZTM;Skrajna;1
8;P(2146);ZTM;Zakopiańska;1
9;P(2144);ZTM;Ciasna;1
10;P(2142);ZTM;Paska;1
11;P(2140);ZTM;Powstańców Warszawskich;2
12;P(2138);ZTM;Hucisko;3
13;P(2001);ZTM;Dworzec Główny;2
14;P(2005);ZTM;Brama Oliwska;2
15;P(2007);ZTM;Chodowieckiego;1
16;P(2009);ZTM;Uniwersytet Medyczny;1
17;P(2011);ZTM;Traugutta;1
18;P(2015);ZTM;Opera Bałtycka;2
19;P(2017);ZTM;Politechnika;1
20;P(2019);ZTM;Miszewskiego;1
21;P(2021);ZTM;Jaśkowa Dolina;2
22;P(2023);ZTM;Klonowa;1
23;P(2025);ZTM;Galeria Bałtycka;2
24;P(2027);ZTM;Wojska Polskiego;2
25;P(2029);ZTM;Zamenhofa;1
26;P(2031);ZTM;Zajezdnia;1
27;P(213),1,I,H;ZTM;Strzyża PKM;
28;P(2033);ZTM;Strzyża PKM;1
29;P(2035);ZTM;Uniwersytet;2
30;P(2037);ZTM;Bażyńskiego;1
31;P(2039);ZTM;Tetmajera;1
32;P(2041);ZTM;Derdowskiego;1
33;P(2043);ZTM;Obrońców Westerplatte;1
34;B,N,K0,P(202);ZTM;Oliwa;1
