6;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B,P(221);ZTM;Łostowice Świętokrzyska;0
2;P(2230);ZTM;Płocka;2
3;P(2228);ZTM;Przemyska;2
4;P(2226);ZTM;Wilanowska;1
5;P(2224);ZTM;Cebertowicza;2
6;P(2222);ZTM;Cieszyńskiego;1
7;P(2218);ZTM;Sikorskiego;2
8;P(2216);ZTM;Chałubińskiego;2
9;P(2214);ZTM;Odrzańska;2
10;P(2212);ZTM;Pohulanka;1
11;P(2208);ZTM;Śródmieście SKM;2
12;P(2102);ZTM;Brama Wyżynna;2
13;P(2001);ZTM;Dworzec Główny;2
14;P(2005);ZTM;Brama Oliwska;2
15;P(2007);ZTM;Chodowieckiego;1
16;P(2009);ZTM;Uniwersytet Medyczny;1
17;P(2011);ZTM;Traugutta;1
18;P(2015);ZTM;Opera Bałtycka;2
19;P(2017);ZTM;Politechnika;1
20;P(2019);ZTM;Miszewskiego;1
21;P(2021);ZTM;Jaśkowa Dolina;2
22;P(2023);ZTM;Klonowa;1
23;P(2025);ZTM;Galeria Bałtycka;2
24;P(2027);ZTM;Wojska Polskiego;2
25;P(2029);ZTM;Zamenhofa;1
26;P(2031);ZTM;Zajezdnia;1
27;P(213),1,I,H;ZTM;Strzyża PKM;
28;P(2033);ZTM;Strzyża;1
29;P(2035);ZTM;Uniwersytet;2
30;P(2037);ZTM;Bażyńskiego;1
31;P(2039);ZTM;Tetmajera;1
32;P(2041);ZTM;Derdowskiego;1
33;P(2043);ZTM;Obrońców Westerplatte;1
34;P(2045);ZTM;Oliwa;2
35;P(2047);ZTM;Opacka;2
36;P(2049);ZTM;Subisława;2
37;P(2051);ZTM;Pomorska - Osiedle;2
38;P(2055);ZTM;Osiedle Wejhera;2
39;P(2057);ZTM;Helska;1
40;B,N,K0,P(201);ZTM;Jelitkowo;1
