6;Flagi;Gmina;Nazwa;X7(00:00-29:59)
1;B,P(201);ZTM;Jelitkowo;0
2;P(2058);ZTM;Helska;2
3;P(2056);ZTM;Osiedle Wejhera;2
4;P(2054);ZTM;Gospody;1
5;P(2052);ZTM;Pomorska - Osiedle;1
6;P(2050);ZTM;Subisława;2
7;P(2048);ZTM;Opacka;2
8;P(2046);ZTM;Oliwa;2
9;P(2044);ZTM;Obrońców Westerplatte;1
10;P(2042);ZTM;Derdowskiego;1
11;P(2040);ZTM;Tetmajera;1
12;P(2038);ZTM;Bażyńskiego;1
13;P(2036);ZTM;Uniwersytet;1
14;P(2034);ZTM;Strzyża;2
15;P(2030);ZTM;Zajezdnia;1
16;P(2028);ZTM;Zamenhofa;1
17;P(2026);ZTM;Wojska Polskiego;1
18;P(2024);ZTM;Galeria Bałtycka;2
19;P(2022);ZTM;Klonowa;1
20;P(2020);ZTM;Jaśkowa Dolina;2
21;P(2018);ZTM;Miszewskiego;2
22;P(2016);ZTM;Politechnika;1
23;P(2014);ZTM;Opera Bałtycka;2
24;P(2012);ZTM;Traugutta;2
25;P(2010);ZTM;Uniwersytet Medyczny;1
26;P(2008);ZTM;Chodowieckiego;1
27;P(2006);ZTM;Brama Oliwska;1
28;P(2002);ZTM;Dworzec Główny;2
29;P(2101);ZTM;Brama Wyżynna;2
30;P(2207);ZTM;Śródmieście SKM;2
31;P(2211);ZTM;Pohulanka;2
32;P(2213);ZTM;Odrzańska;1
33;P(2215);ZTM;Chałubińskiego;2
34;P(2217);ZTM;Sikorskiego;1
35;P(2221);ZTM;Cieszyńskiego;2
36;P(2223);ZTM;Cebertowicza;1
37;P(2225);ZTM;Wilanowska;2
38;P(2227);ZTM;Przemyska;1
39;P(2229);ZTM;Płocka;1
40;B,N,K0,P(2231);ZTM;Łostowice Świętokrzyska;2
