2;Flagi;Gmina;Nazwa;X11(00:00-29:59)
1;B,P(2045);ZTM;Oliwa;0
2;P(2047);ZTM;Opacka;2
3;P(2049);ZTM;Subisława;2
4;P(2051);ZTM;Pomorska - Osiedle;2
5;P(201),1,I,B;ZTM;Jelitkowo;
6;P(2058),1,I;ZTM;Helska;
7;P(2056),1,I;ZTM;Osiedle Wejhera;
8;P(2100);ZTM;Pomorska;2
9;P(2098);ZTM;Piastowska;1
10;P(2096);ZTM;Jagiellońska;2
11;P(2094);ZTM;Chłopska - Obrońców Wybrzeża;1
12;P(2092);ZTM;Kołobrzeska;1
13;P(2090);ZTM;Zaspa;2
14;P(2088);ZTM;Startowa;1
15;P(2086);ZTM;Jana Pawła II;1
16;P(2084);ZTM;Żwirki i Wigury;1
17;P(2082);ZTM;Bajana;1
18;P(2080);ZTM;Legionów;2
19;P(2078);ZTM;Plac Komorowskiego;1
20;P(2076);ZTM;Mickiewicza;2
21;P(2074);ZTM;Reja;1
22;P(2072);ZTM;Wyspiańskiego;2
23;P(213),1,I,H;ZTM;Strzyża PKM;
24;P(2030),1,I,H;ZTM;Zajezdnia;
25;P(2028),1,I,H;ZTM;Zamenhofa;
26;P(2026),1,I,H;ZTM;Wojska Polskiego;
27;P(2024),1,I,H;ZTM;Galeria Bałtycka;
28;P(2022),1,I,H;ZTM;Klonowa;
29;P(2020),1,I,H;ZTM;Jaśkowa Dolina;
30;P(2018),1,I,H;ZTM;Miszewskiego;
31;P(2016),1,I,H;ZTM;Politechnika;
32;P(2014);ZTM;Opera Bałtycka;2
33;P(2012);ZTM;Traugutta;2
34;P(2010);ZTM;Uniwersytet Medyczny;1
35;P(2008);ZTM;Chodowieckiego;1
36;P(2006);ZTM;Brama Oliwska;1
37;P(2002);ZTM;Dworzec Główny;2
38;P(2101);ZTM;Brama Wyżynna;2
39;P(2207);ZTM;Śródmieście SKM;2
40;P(2136),1,I;ZTM;Dworzec PKS;
41;P(2132),1,I;ZTM;Nowe Ogrody;
42;P(2211);ZTM;Pohulanka;2
43;P(2213);ZTM;Odrzańska;1
44;P(2215);ZTM;Chałubińskiego;2
45;P(2217);ZTM;Sikorskiego;1
46;P(2221);ZTM;Cieszyńskiego;2
47;P(2223);ZTM;Cebertowicza;1
48;P(2225);ZTM;Wilanowska;2
49;P(2227);ZTM;Przemyska;1
50;P(2229);ZTM;Płocka;1
51;B,N,K0,P(2231);ZTM;Łostowice Świętokrzyska;2
